#name sbv sbv_err
SN2004ef 0.815 0.003
SN2004eo 0.816 0.005
SN2004ey 1.008 0.002
SN2004gc 0.921 0.023
SN2004gs 0.693 0.004
SN2004gu 1.244 0.010
SN2005A 0.964 0.010
SN2005M 1.206 0.003
SN2005W 0.923 0.009
SN2005ag 1.083 0.008
SN2005al 0.864 0.003
SN2005am 0.732 0.003
SN2005be 0.754 0.018
SN2005bg 1.002 0.027
SN2005bl 0.394 0.013
SN2005bo 0.846 0.008
SN2005el 0.834 0.003
SN2005eq 1.241 0.008
SN2005hc 1.191 0.006
SN2005hj 1.268 0.015
SN2005iq 0.871 0.004
SN2005ir 1.120 0.021
SN2005kc 0.898 0.006
SN2005ke 0.419 0.003
SN2005ki 0.824 0.003
SN2005ku 1.189 0.044
SN2005lu 1.128 0.033
SN2005mc 0.642 0.024
SN2005na 0.958 0.007
SN2006D 0.811 0.003
SN2006X 0.970 0.006
SN2006ax 0.985 0.004
SN2006bd 0.322 0.021
SN2006bh 0.800 0.003
SN2006br 0.908 0.029
SN2006ef 0.836 0.020
SN2006ej 0.820 0.019
SN2006eq 0.621 0.025
SN2006et 1.102 0.009
SN2006ev 0.839 0.019
SN2006fw 0.895 0.046
SN2006gj 0.658 0.007
SN2006gt 0.559 0.007
SN2006hb 0.661 0.004
SN2006hx 0.897 0.022
SN2006is 1.140 0.032
SN2006kf 0.733 0.004
SN2006lu 1.054 0.025
SN2006mr 0.260 0.004
SN2006ob 0.741 0.007
SN2006os 0.937 0.023
SN2006py 0.949 0.025
SN2007A 1.003 0.011
SN2007N 0.297 0.007
SN2007S 1.121 0.010
SN2007af 0.926 0.003
SN2007ai 1.251 0.011
SN2007as 0.881 0.004
SN2007ax 0.360 0.010
SN2007ba 0.547 0.006
SN2007bc 0.886 0.005
SN2007bd 0.883 0.004
SN2007bm 0.905 0.008
SN2007ca 1.060 0.007
SN2007hx 1.016 0.031
SN2007if 1.241 0.020
SN2007jg 0.915 0.006
SN2007jh 0.586 0.014
SN2007le 1.023 0.004
SN2007mm 0.500 0.020
SN2007nq 0.749 0.005
SN2007on 0.574 0.003
SN2008C 0.947 0.024
SN2008R 0.597 0.006
SN2008bc 1.035 0.003
SN2008bq 1.151 0.008
SN2008fp 1.049 0.005
SN2008gp 0.974 0.005
SN2008hv 0.846 0.003
SN2008ia 0.837 0.004
SN2009F 0.335 0.008
